id,session_id,hex_id,signal_name,raw_id,decoded,timestamp,elapsed_ms,data,dlc
17226,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":850,""speed"":0,""throttle"":0}",1756868234186,0.021,03 52 00 00 00 00,6
17227,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234186,0.021,00 00 00 00,4
17228,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234186,0.021,00 00,2
17229,23,0x220,Gear position,544,"{""gear"":0}",1756868234186,0.021,00,1
17230,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234186,0.021,00,1
17231,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":833,""speed"":0,""throttle"":0}",1756868234219,0.054,03 41 00 00 00 00,6
17232,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234219,0.054,00 00 00 00,4
17233,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234219,0.054,00 00,2
17234,23,0x220,Gear position,544,"{""gear"":0}",1756868234219,0.054,00,1
17235,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234219,0.054,00,1
17236,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":818,""speed"":0,""throttle"":0}",1756868234254,0.089,03 32 00 00 00 00,6
17237,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234254,0.089,00 00 00 00,4
17238,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234254,0.089,00 00,2
17239,23,0x220,Gear position,544,"{""gear"":0}",1756868234254,0.089,00,1
17240,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234254,0.089,00,1
17241,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":807,""speed"":0,""throttle"":0}",1756868234289,0.124,03 27 00 00 00 00,6
17242,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234289,0.124,00 00 00 00,4
17243,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234289,0.124,00 00,2
17244,23,0x220,Gear position,544,"{""gear"":0}",1756868234289,0.124,00,1
17245,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234289,0.124,00,1
17246,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":801,""speed"":0,""throttle"":0}",1756868234322,0.157,03 21 00 00 00 00,6
17247,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234322,0.157,00 00 00 00,4
17248,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234322,0.157,00 00,2
17249,23,0x220,Gear position,544,"{""gear"":0}",1756868234322,0.157,00,1
17250,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234322,0.157,00,1
17251,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":801,""speed"":0,""throttle"":0}",1756868234358,0.193,03 21 00 00 00 00,6
17252,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234358,0.193,00 00 00 00,4
17253,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234358,0.193,00 00,2
17254,23,0x220,Gear position,544,"{""gear"":0}",1756868234358,0.193,00,1
17255,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234358,0.193,00,1
17256,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":806,""speed"":0,""throttle"":0}",1756868234393,0.228,03 26 00 00 00 00,6
17257,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234393,0.228,00 00 00 00,4
17258,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234393,0.228,00 00,2
17259,23,0x220,Gear position,544,"{""gear"":0}",1756868234393,0.228,00,1
17260,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234393,0.228,00,1
17261,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":816,""speed"":0,""throttle"":0}",1756868234424,0.259,03 30 00 00 00 00,6
17262,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234424,0.259,00 00 00 00,4
17263,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234424,0.259,00 00,2
17264,23,0x220,Gear position,544,"{""gear"":0}",1756868234424,0.259,00,1
17265,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234424,0.259,00,1
17266,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":831,""speed"":0,""throttle"":0}",1756868234460,0.295,03 3F 00 00 00 00,6
17267,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234460,0.295,00 00 00 00,4
17268,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234460,0.295,00 00,2
17269,23,0x220,Gear position,544,"{""gear"":0}",1756868234460,0.295,00,1
17270,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234460,0.295,00,1
17271,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":846,""speed"":0,""throttle"":0}",1756868234493,0.328,03 4E 00 00 00 00,6
17272,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234493,0.328,00 00 00 00,4
17273,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234493,0.328,00 00,2
17274,23,0x220,Gear position,544,"{""gear"":0}",1756868234493,0.328,00,1
17275,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234493,0.328,00,1
17276,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":862,""speed"":0,""throttle"":0}",1756868234525,0.36,03 5E 00 00 00 00,6
17277,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234525,0.36,00 00 00 00,4
17278,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234525,0.36,00 00,2
17279,23,0x220,Gear position,544,"{""gear"":0}",1756868234525,0.36,00,1
17280,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234525,0.36,00,1
17281,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":879,""speed"":0,""throttle"":0}",1756868234561,0.396,03 6F 00 00 00 00,6
17282,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234561,0.396,00 00 00 00,4
17283,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234561,0.396,00 00,2
17284,23,0x220,Gear position,544,"{""gear"":0}",1756868234561,0.396,00,1
17285,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234561,0.396,00,1
17286,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":891,""speed"":0,""throttle"":0}",1756868234594,0.429,03 7B 00 00 00 00,6
17287,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234594,0.429,00 00 00 00,4
17288,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234594,0.429,00 00,2
17289,23,0x220,Gear position,544,"{""gear"":0}",1756868234594,0.429,00,1
17290,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234594,0.429,00,1
17291,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":898,""speed"":0,""throttle"":0}",1756868234626,0.461,03 82 00 00 00 00,6
17292,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234626,0.461,00 00 00 00,4
17293,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234626,0.461,00 00,2
17294,23,0x220,Gear position,544,"{""gear"":0}",1756868234626,0.461,00,1
17295,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234626,0.461,00,1
17296,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":900,""speed"":0,""throttle"":0}",1756868234663,0.498,03 84 00 00 00 00,6
17297,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234663,0.498,00 00 00 00,4
17298,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234663,0.498,00 00,2
17299,23,0x220,Gear position,544,"{""gear"":0}",1756868234663,0.498,00,1
17300,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234663,0.498,00,1
17301,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":896,""speed"":0,""throttle"":0}",1756868234697,0.532,03 80 00 00 00 00,6
17302,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234697,0.532,00 00 00 00,4
17303,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234697,0.532,00 00,2
17304,23,0x220,Gear position,544,"{""gear"":0}",1756868234697,0.532,00,1
17305,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234697,0.532,00,1
17306,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":888,""speed"":0,""throttle"":0}",1756868234729,0.564,03 78 00 00 00 00,6
17307,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234729,0.564,00 00 00 00,4
17308,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234729,0.564,00 00,2
17309,23,0x220,Gear position,544,"{""gear"":0}",1756868234729,0.564,00,1
17310,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234729,0.564,00,1
17311,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":874,""speed"":0,""throttle"":0}",1756868234764,0.599,03 6A 00 00 00 00,6
17312,23,0x201,Steering angle / torque,513,"{""steeringAngle"":0,""torque"":0}",1756868234764,0.599,00 00 00 00,4
17313,23,0x202,Brake pedal status,514,"{""brakePressed"":false,""brakeForce"":0}",1756868234764,0.599,00 00,2
17314,23,0x220,Gear position,544,"{""gear"":0}",1756868234764,0.599,00,1
17315,23,0x3f2,Headlights / turn signals,1010,"{""left"":false,""right"":false,""hazards"":false,""headlights"":false}",1756868234764,0.599,00,1
17316,23,0x200,"Engine RPM, Throttle, Speed",512,"{""rpm"":858,""speed"":0,""throttle"":0}",1756868234799,0.634,03 5A 00 00 00 00,6
