id,session_id,timestamp,hex_id,data
17226,23,1756868234186,0x200,03 52 00 00 00 00
17227,23,1756868234186,0x201,00 00 00 00
17228,23,1756868234186,0x202,00 00
17229,23,1756868234186,0x220,00
17230,23,1756868234186,0x3f2,00
17231,23,1756868234219,0x200,03 41 00 00 00 00
17232,23,1756868234219,0x201,00 00 00 00
17233,23,1756868234219,0x202,00 00
17234,23,1756868234219,0x220,00
17235,23,1756868234219,0x3f2,00
17236,23,1756868234254,0x200,03 32 00 00 00 00
17237,23,1756868234254,0x201,00 00 00 00
17238,23,1756868234254,0x202,00 00
17239,23,1756868234254,0x220,00
17240,23,1756868234254,0x3f2,00
17241,23,1756868234289,0x200,03 27 00 00 00 00
17242,23,1756868234289,0x201,00 00 00 00
17243,23,1756868234289,0x202,00 00
17244,23,1756868234289,0x220,00
17245,23,1756868234289,0x3f2,00
17246,23,1756868234322,0x200,03 21 00 00 00 00
17247,23,1756868234322,0x201,00 00 00 00
17248,23,1756868234322,0x202,00 00
17249,23,1756868234322,0x220,00
17250,23,1756868234322,0x3f2,00
17251,23,1756868234358,0x200,03 21 00 00 00 00
17252,23,1756868234358,0x201,00 00 00 00
17253,23,1756868234358,0x202,00 00
17254,23,1756868234358,0x220,00
17255,23,1756868234358,0x3f2,00
17256,23,1756868234393,0x200,03 26 00 00 00 00
17257,23,1756868234393,0x201,00 00 00 00
17258,23,1756868234393,0x202,00 00
17259,23,1756868234393,0x220,00
17260,23,1756868234393,0x3f2,00
17261,23,1756868234424,0x200,03 30 00 00 00 00
17262,23,1756868234424,0x201,00 00 00 00
17263,23,1756868234424,0x202,00 00
17264,23,1756868234424,0x220,00
17265,23,1756868234424,0x3f2,00
17266,23,1756868234460,0x200,03 3F 00 00 00 00
17267,23,1756868234460,0x201,00 00 00 00
17268,23,1756868234460,0x202,00 00
17269,23,1756868234460,0x220,00
17270,23,1756868234460,0x3f2,00
17271,23,1756868234493,0x200,03 4E 00 00 00 00
17272,23,1756868234493,0x201,00 00 00 00
17273,23,1756868234493,0x202,00 00
17274,23,1756868234493,0x220,00
17275,23,1756868234493,0x3f2,00
17276,23,1756868234525,0x200,03 5E 00 00 00 00
17277,23,1756868234525,0x201,00 00 00 00
17278,23,1756868234525,0x202,00 00
17279,23,1756868234525,0x220,00
